Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"сколько стоит щебенка";4;3;1;;2853;145;29;2;2;3.4;684000;"www.scheben-otsev66.ru";"/cat/scheben-dorozhnyi";1
"цена щебня за 1 м3";1;5;;;1863;6;27;2;2;56.7;4000000;"www.scheben-otsev66.ru";"/price_na_scheben";7
"известковый щебень";6;2;;;2101;125;16;2;2;0.3;176000;"www.scheben-otsev66.ru";"/cat/scheben-izvestnyakovyy";3
"цена щебня за куб";4;4;;;4018;63;38;2;2;0.3;733000;"www.scheben-otsev66.ru";"/price_na_scheben";3
"купить песок и щебень с доставкой";4;6;;;454;24;3;2;2;0.3;843000;"www.scheben-otsev66.ru";"/";5
"карьер монетный";2;2;;;25;2;13;7;2;0.3;465000;"www.scheben-otsev66.ru";"/karyer-monetnyj";3
"щебень свердловская область";2;3;;1;136;2;37;2;2;40.1;572000;"www.scheben-otsev66.ru";"/price_na_scheben";6
"щебень цена за 1 м3";3;5;;;2975;90;124;5;2;19.7;4000000;"www.scheben-otsev66.ru";"/cat/shcheben-20-40";3
"щпс купить";2;2;;;1081;285;13;2;2;91;756000;"www.scheben-otsev66.ru";"/cat/shchps-s4";1
"цена щебня за тонну";1;4;;;2581;218;11;2;2;0.3;768000;"www.scheben-otsev66.ru";"/price_na_scheben";1
"щебень отсев купить";3;3;;;204;5;8;3;2;25.5;662000;"www.scheben-otsev66.ru";"/cat/otsev";1
"купить скальный грунт";10;3;;;204;7;37;3;2;32.9;706000;"www.scheben-otsev66.ru";"/cat/skalnyj_grunt";1
"щпс гост";6;2;;;950;103;23;5;2;0.3;83000;"www.scheben-otsev66.ru";"/gost-25607-2009";1
"морозостойкость щебня";1;2;;;384;29;19;2;2;0.3;10000;"www.scheben-otsev66.ru";"/stati/harakteristiki-shchebnya";9
"щебень 1м3 цена";2;3;;;159;3;4;2;2;11.9;4000000;"www.scheben-otsev66.ru";"/price_na_scheben";6
"щебень фракции 5 10";2;4;;;752;25;21;2;2;0.3;3000000;"www.scheben-otsev66.ru";"/cat/shcheben-5-10";6
"щпс с2";2;2;;;139;32;5;3;2;0.3;4000000;"www.scheben-otsev66.ru";"/cat/shchps-s2";1
"гравий цена за тонну";7;4;;;156;11;3;2;2;0.3;853000;"www.scheben-otsev66.ru";"/price_na_scheben";2
