Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"купить торф в екатеринбурге с доставкой цена";9;7;;1;12;5;11;3;3;4.9;847000;"www.keramzit66.ru";"/catalog/torf/";1
"отсев в мешках купить";2;4;;;587;17;83;3;3;11.5;640000;"www.keramzit66.ru";"/catalog/otsev/otsev_mechok.html";2
"асфальтовая срезка";4;2;;;32;4;4;3;3;34.4;176000;"www.keramzit66.ru";"/catalog/asfalt/srezka/srezka-asfalta.html";9
"керамзит купить в екатеринбурге цена куб";3;6;;1;11;3;6;5;3;11.1;938000;"www.keramzit66.ru";"/catalog/keramzit/m3-kub/Keramzit-24-m3-fr10-20.html";4
"купить песок в екатеринбурге в мешках";2;6;;1;83;3;50;8;3;31.7;760000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";6
"купить землю плодородную с доставкой";13;5;;;621;7;7;3;3;0.3;1000000;"www.keramzit66.ru";"/catalog/zemla/";9
"глина доставка екатеринбург";7;3;;1;30;4;19;2;2;28;11000;"www.keramzit66.ru";"/catalog/glina/";13
"купить машину чернозема";5;3;;;657;28;5;2;2;0.3;1000000;"www.keramzit66.ru";"/catalog/zemla/";3
"купить битумную эмульсию";4;3;;;1606;26;47;8;2;2.7;839000;"www.keramzit66.ru";"/catalog/bitumnay-emulsia/emulsia-ebk2-bocka.html";5
"асфальт купить цена за 1 тонну";4;6;;;93;57;8;2;2;15.3;3000000;"www.keramzit66.ru";"/catalog/asfalt/goryachiy/asfalt-goryachiy-tip-v-m-2-gost9128-2013.html";8
"куб керамзита цена";3;3;;;1304;50;43;2;2;0.3;965000;"www.keramzit66.ru";"/catalog/keramzit/m3-kub/";1
"срезка асфальта купить в екатеринбурге с доставкой";9;7;;1;73;7;55;2;2;6.6;2000;"www.keramzit66.ru";"/catalog/asfalt/srezka/";5
"камышловский песок";4;2;;;44;6;12;6;2;19.6;247000;"www.keramzit66.ru";"/catalog/pesok/pesok_kamichlov_ekaterinburg_6.html";2
"песок для песочницы в леруа мерлен";8;6;;;40;5;3;2;2;16.4;2000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";3
"стоимость керамзита за 1 м3";4;5;;;88;56;2;2;2;4.8;2000;"www.keramzit66.ru";"/catalog/keramzit/m3-kub/";1
"кварцевая крошка купить в екатеринбурге";2;5;;1;11;3;10;7;2;31.4;2000;"www.keramzit66.ru";"/catalog/mramor/kvartsevaya-kroshka/krohka-kvarc-ekaterinburg-belaja-mkr.html";1
"купить асфальт в екатеринбурге";3;4;;1;183;2;104;10;2;43.7;1000000;"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";5
"плодородная земля купить";3;3;;;8966;198;77;7;2;25.8;930000;"www.keramzit66.ru";"/catalog/zemla/";3
"щебень с доставкой купить";7;4;;;24405;51;476;3;2;28.2;757000;"www.keramzit66.ru";"/catalog/sheben/za-kub/";13
"керамзит в мкр";3;3;;;110;9;14;2;2;19.4;479000;"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_v_mkr_kupit.html";5
"щебень фр 20 40 цена за м3";4;7;;;81;7;4;2;2;0.3;3000000;"www.keramzit66.ru";"/catalog/sheben/za-tonnu/SHeben-fr-20-40-40-70-v-MKR-po-1tn.html";22
"холодный асфальт екатеринбург купить";4;4;;1;362;2;247;4;2;50.4;916000;"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";5
"купить песок для песочницы в екатеринбурге";2;6;;1;10;2;7;7;2;10.9;831000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";1
"керамзитоблоков";9;1;;;27537;9;560;47;2;43.2;2000000;"www.keramzit66.ru";"/catalog/stroitelnyy-blok/keramzitoblok/";6
"пц400";8;1;;;251;9;18;2;2;0.3;370000;"www.keramzit66.ru";"/catalog/cement/pts-400/";17
"песок бочкариха";3;2;;;5;2;5;2;2;64.2;200000;"www.keramzit66.ru";"/catalog/pesok/dlya-styazhki/pesok_kamichlov_ekaterinburg-1.html";4
"уголь в мешках";2;3;;;10774;309;182;2;2;0.3;211000;"www.keramzit66.ru";"/catalog/ugol/kamennyy/Ugol-dpk-25kg.html";4
"уголь дпк";1;2;;;1959;187;12;3;2;0.3;196000;"www.keramzit66.ru";"/catalog/ugol/kamennyy/Ugol-dpk.html";2
"чернозем купить в екатеринбурге";4;4;;1;37;3;26;3;2;7.2;746000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi.html";3
"екатеринбург грунт";4;2;;1;2397;3;1327;5;2;53.8;193000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1.html";2
"опил в мешках купить в екатеринбурге";3;6;;1;2;2;12;12;2;33.5;748000;"www.keramzit66.ru";"/catalog/opil/Drevesnii-opil-v-meshkah.html";3
"сколько стоит асфальт";3;3;1;;5955;293;61;2;2;0.3;772000;"www.keramzit66.ru";"/catalog/asfalt/goryachiy/asfalt-goryachiy-do-10tn.html";8
"дресьва цена екатеринбург с доставкой за куб";6;7;;1;2;2;2;2;2;0.3;1000000;"www.keramzit66.ru";"/catalog/dresva/dresva_0_20.html?yadclid=2687189&yadordid=187344998";7
"холодный асфальт в мешках купить";3;5;;;1560;237;33;2;2;5.2;818000;"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";6
"щебенка 20 40";6;3;;;290;17;6;2;2;0.3;3000000;"www.keramzit66.ru";"/catalog/sheben/za-kub/sheben-kupit.html";41
"асфальт в мешках купить в екатеринбурге";2;6;;1;76;6;32;2;2;5.5;788000;"www.keramzit66.ru";"/catalog/asfalt/holodnyy/asfalt-holodnyy-v-meshkah-po-30-kg.html";5
"мраморная крошка белая купить в екатеринбурге";6;6;;1;4;2;2;2;2;0.3;839000;"www.keramzit66.ru";"/catalog/mramor/";1
"где можно купить землю для огорода";6;6;1;;37;6;4;2;2;0.3;2000000;"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1.html";5
"чернозем с доставкой";2;3;;;2386;72;28;2;2;0.3;413000;"www.keramzit66.ru";"/catalog/zemla/";6
"уголь для котла";1;3;;;3413;18;33;2;2;0.3;201000;"www.keramzit66.ru";"/catalog/ugol/kamennyy/Ugol-dpk.html";6
"известковый раствор купить в екатеринбурге";1;5;;1;8;2;6;3;2;17.1;737000;"www.keramzit66.ru";"/catalog/izvest/dlya-shtukaturki/izvestkovii-rastvor-v-meshkah.html";9
"купить уголь каменный";1;3;;;2741;28;131;6;2;16.8;809000;"www.keramzit66.ru";"/catalog/ugol/kamennyy/Ugol-dpk.html";9
"уголь каменный цена за тонну";3;5;;;194;15;3;2;2;0.3;848000;"www.keramzit66.ru";"/catalog/ugol/kamennyy/Ugol-dpk.html";8
"песок для песочницы купить";2;4;;;450;26;19;7;2;18.2;740000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";2
"купить глину строительную";3;3;;;293;39;6;3;2;5.3;808000;"www.keramzit66.ru";"/catalog/glina/stroitelnaya/glina_14_m3-1.html";17
"цена асфальта за тонну";3;4;;;995;110;6;6;2;0.3;759000;"www.keramzit66.ru";"/catalog/asfalt/goryachiy/asfalt-goryachiy-bolee-10tn.html";9
"купить керамзит в свердловской области";7;5;;1;12;6;2;2;2;0.3;1000000;"www.keramzit66.ru";"/catalog/keramzit/";5
"мешок керамзита цена";3;3;;;2661;29;40;2;2;17.2;707000;"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_mechki_cena.html";4
"где купить песок для песочницы";1;5;1;;21;10;2;2;2;18.6;1000000;"www.keramzit66.ru";"/catalog/pesok/pesok-dla-detskix-pesocnic.html";28
"керамзитобетон купить";6;2;;;1241;175;10;3;2;136.9;704000;"www.keramzit66.ru";"/catalog/keramzitobeton/m3-kub/";1
