Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"atom-market.ru";"екатеринбурге купить твинблок теплит плитка цена тротуарная";19.39;18.96;14.53;11.59;10.16;0.43;4.86;7.8;9.23;422;424;238;2;2;578;111;2;14;38;93;100;100;20072;18545;8;2
"plitkaekb.ru";"плитка екатеринбурге купить тротуарная бехатон производителя недорого";33.73;31.64;32.87;33.87;23.71;2.09;0.86;-0.14;10.02;482;484;414;559;306;1874;161;10;37;56;92;100;100;13157;16519;10;2
"ekaterinburg.spectehinfo.ru";"аренда екатеринбург купить бу манипулятора автокрана автовышки";4.32;4.11;1.3;1.29;0.82;0.21;3.02;3.03;3.5;280;280;53;0;0;5;289;0;4;16;74;100;100;59426;26210;6;2
"72taktika.ru";"бетона щебень фракции марк смесь прочности набора";10.1;11.66;13.22;12.58;5.49;-1.56;-3.12;-2.48;4.61;196;200;124;0;0;0;41;20;42;61;96;100;100;32388;35202;6;2
"ekb.pulscen.ru";"екатеринбурге купить цена оптом кирпич опора пульс";48.31;46.07;61.27;65.36;53.84;2.24;-12.96;-17.05;-5.53;3030;3044;593;2153;783;2927;19594;1;6;16;68;100;100;9970;3278;16;2
"gruztrans66.ru";"екатеринбург мусора вывоз строительного контейнер шин ломовоз";6.76;7.3;7.45;4.65;2.93;-0.54;-0.69;2.11;3.83;133;133;83;15;13;20;14;2;13;38;95;100;100;43180;48004;5;2
"shebenkamen.ru";"щебня фракция 40 инертные плотность материалы 20";10.18;10.91;7.73;6.44;2.2;-0.73;2.45;3.74;7.98;221;225;125;0;0;1;59;12;34;56;98;100;100;32245;31890;5;2
"uslugio.com";"екатеринбург аренда цена дому ремонт няня услуги";109.9;112.44;104.19;104.08;85.33;-2.54;5.71;5.82;24.57;7342;7347;1349;0;0;3;7757;0;5;20;86;100;100;5083;1499;36;2
"perevozka24.ru";"екатеринбург расстояние машине аренда москва казань тагил";498.25;474.44;429.81;355.42;237.32;23.81;68.44;142.83;260.93;19036;19123;6116;73;52;1534;6931;2;12;33;97;100;100;1530;617;52;2
"uralint.ru";"купить екатеринбурге цена мм арматура лист гипсокартон";169.13;168.41;114.53;89.03;69.03;0.72;54.6;80.1;100.1;3392;3403;2076;0;0;376;1474;4;17;32;79;100;100;3577;2968;10;1
