Ключ;Позиция;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Домен;Страница;Прогресс позиций
"песчано щебеночная смесь";3;3;;;4335;69;116;15;7;23;2000;"www.scheben-otsev66.ru";"/cat/peschano-schebenochnaya-smes";0
"карьеры екатеринбург";5;2;;1;1685;12;950;34;7;56;351000;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti";
"где купить щебень марки 0 70";6;6;1;;7;7;7;7;7;0.3;2000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"6679010730";5;1;;;11;11;10;10;7;0.3;620;"www.scheben-otsev66.ru";"/kontakty";0
"фракция щебня для бетона";2;4;;;1756;180;24;7;7;0.3;215000;"www.scheben-otsev66.ru";"/stati/kakoy-shcheben-dlya-betona-vybrat";
"скала купить в екатеринбурге";9;4;;1;75;7;55;7;7;5.7;801000;"www.scheben-otsev66.ru";"/cat/skalnyj_grunt";-1
"карьеры";6;1;;;1190675;386;25594;117;7;49.4;4000000;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti";
"купить щебень в екатеринбурге с доставкой";1;6;;1;37;7;30;15;7;50.2;690000;"www.scheben-otsev66.ru";"/price_na_scheben";3
"сколько стоит тонна щебня";2;4;1;;3264;478;37;11;7;35.7;790000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"отсев купить в екатеринбурге с доставкой цена за куб екатеринбург";2;10;;1;44;8;42;9;7;105.7;1000000;"www.scheben-otsev66.ru";"/cat/otsev";0
"щебень 20 40 цена за 1 м3";6;7;;;2105;1057;134;6;6;33;4000000;"www.scheben-otsev66.ru";"/price_na_scheben";-2
"скальный грунт купить в екатеринбурге с доставкой";8;7;;1;14;8;9;6;6;124.8;984000;"www.scheben-otsev66.ru";"/cat/skalnyj_grunt";-1
"отсев гранитный фракция 0 5 мм цена";6;7;;;529;529;10;9;6;46.4;2000;"www.scheben-otsev66.ru";"/cat/otsev-0-5-mm";4
"машина щебня с доставкой цена";5;5;;;366;309;14;6;6;89.1;1000000;"www.scheben-otsev66.ru";"/price_na_scheben";2
"щебень оптом";2;2;;;1344;143;21;10;6;157.2;175000;"www.scheben-otsev66.ru";"/";
"машина щебенки цена";2;3;;;398;83;8;6;6;0.3;947000;"www.scheben-otsev66.ru";"/cat/scheben-dorozhnyi";6
"гранитный щебень";6;2;;;26243;1025;280;20;6;74.6;160000;"www.scheben-otsev66.ru";"/cat/scheben";-1
"скальник";7;1;;;9422;206;353;38;6;24.8;2000000;"www.scheben-otsev66.ru";"/cat/skalnyj_grunt";-4
"песчаный карьер свердловская область";10;4;;1;28;8;11;6;6;18.6;1000000;"www.scheben-otsev66.ru";"/stati/karery-sverdlovskoj-oblasti";0
"а гранит";1;2;;;5233;15;127;15;6;20.3;2000000;"www.scheben-otsev66.ru";"/";0
"дсс щебень екатеринбург";2;3;;1;6;6;6;6;6;0.3;168000;"www.scheben-otsev66.ru";"/";0
"щебень гравийный 40 70 с доставкой";6;6;;;58;33;6;6;6;0.3;14000;"www.scheben-otsev66.ru";"/cat/shcheben-40-70";0
"щебень купить 1 куб цена";1;5;;;25;15;6;6;6;0.3;4000000;"www.scheben-otsev66.ru";"/price_na_scheben";0
"щебеночный завод";8;2;;;3580;53;373;6;6;0.3;293000;"www.scheben-otsev66.ru";"/karyer-monetnyj";0
"отсев купить в екатеринбурге с доставкой";8;6;;1;232;5;220;12;5;73.4;1000000;"www.scheben-otsev66.ru";"/cat/otsev";-6
"песок из отсевов дробления";2;4;;;790;63;53;5;5;0.3;237000;"www.scheben-otsev66.ru";"/cat/pesok-iz-otsevov-drobleniya-fr-0-10";6
"куб щебня цена";1;3;;;9184;236;155;10;5;63.1;696000;"www.scheben-otsev66.ru";"/price_na_scheben";1
"щпс с5";1;2;;;1345;250;16;5;5;0.3;2000;"www.scheben-otsev66.ru";"/cat/shchps-s5";1
"щебенка купить";7;2;;;7993;159;125;5;5;44.1;17000;"www.scheben-otsev66.ru";"/price_na_scheben";-2
"цена щебень 20 40 за куб";1;6;;;762;28;9;9;5;33.3;2000000;"www.scheben-otsev66.ru";"/cat/shcheben-20-40";0
"щебень 5 10 цена за куб";3;6;;;100;23;6;5;5;3.4;2000;"www.scheben-otsev66.ru";"/cat/shcheben-5-10";0
"насыпная плотность щебня 40 70";1;5;;;142;46;5;5;5;0.3;980000;"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";0
"насыпная плотность щебня 40 70";4;5;;;142;46;5;5;5;0.3;980000;"www.scheben-otsev66.ru";"/stati/nasypnaya-plotnost-schebnya-po-fraktsiyam";0
"отсев что это";8;3;1;;403;59;15;5;5;0.3;3000000;"www.scheben-otsev66.ru";"/stati/otsev-chto-eto-takoe-vidy-granitnyi-mramornyi-gravyinyi";
"расчет состава бетона на гранитном отсеве";11;6;;;5;5;5;5;5;0.3;446000;"www.scheben-otsev66.ru";"/stati/kak-zameshivat-betonnuyu-smes-iz-otseva";0
"раствор на отсеве";8;3;;;205;5;71;5;5;20.7;200000;"www.scheben-otsev66.ru";"/stati/kak-zameshivat-betonnuyu-smes-iz-otseva";26
