Домен;Темы сайта;Видимость в поиске;Видимость 30 дней назад;Видимость 90 дней назад;Видимость 180 дней назад;Видимость 365 дней назад;Прогресс видимости за 30 дней;Прогресс видимости за 90 дней;Прогресс видимости за 180 дней;Прогресс видимости за 365 дней;Ключей в органике;Позиций в органике;Трафик;Ключей в контексте;Активных объявлений в контексте;Всего объявлений в контексте;Страницы;Процент в топ 1 по домену;Процент в топ 3 по домену;Процент в топ 5 по домену;Процент в топ 10 по домену;domain_organic_keywords_top20_procent;domain_organic_keywords_top30_procent;Рейтинг домена по трафику;Рейтинг домена по ключам;Пересекающиеся ключи;Похожесть
"xn-----9kcfbnbe7bthq3b4g2b.xn--p1ai";"20 щебня 40 плотность насыпная весит куб";6.68;6.71;7.36;7.03;2.66;-0.03;-0.68;-0.35;4.02;108;119;82;0;0;0;27;47;66;79;99;100;100;43595;56730;13;7
"schebenpesok.ru";"щебень купить екатеринбурге доставкой щелково отсев цена";2.28;2.1;1.4;0.89;0.37;0.18;0.88;1.39;1.91;77;77;28;0;0;0;50;1;16;32;90;100;100;90625;73674;11;7
"vtor.by";"лещадность";0.33;0.34;0.56;0.5;0.27;-0.01;-0.23;-0.17;0.06;21;21;4;0;0;0;14;0;14;38;95;100;100;301385;187641;6;7
"www.butstone.com";"";0.65;0.59;0.74;0.59;0.37;0.06;-0.09;0.06;0.28;23;24;8;0;0;0;21;17;33;54;83;100;100;200214;176354;6;7
"osmgrunt.ru";"щебень фракция скала битый кирпич 120";3.5;2.85;1.86;0.99;0.09;0.65;1.64;2.51;3.41;90;93;43;0;0;0;25;11;35;57;98;100;100;67937;65370;12;7
"asfalting.ru";"плотность щебня кг 40 м3 укладка песка";4.15;4.28;5.68;5.45;3.75;-0.13;-1.53;-1.3;0.4;78;82;51;0;0;0;12;26;52;65;98;100;100;60628;72853;12;7
"ksnb.ru";"";0.73;0.84;0.93;0.99;0;-0.11;-0.2;-0.26;0.73;28;28;9;0;0;0;9;25;36;50;89;100;100;186474;153981;7;7
"taxi-pesok.ru";"кирпич битый";1.22;1.34;1.49;0.79;0.55;-0.12;-0.27;0.43;0.67;95;99;15;0;0;1;101;9;18;27;89;100;100;135372;62859;12;7
"nerudas.ru";"карьер рамки щебеночный дорог завод карте платон";19.88;19.13;18.44;16.93;15.93;0.75;1.44;2.95;3.95;293;325;244;0;0;0;131;22;44;58;93;100;100;19638;25165;21;7
"samosval-ekb.ru";"купить екатеринбурге доставкой пщс скальный цена грунт";1.47;0;0;0;0;1.47;1.47;1.47;1.47;17;17;18;0;0;0;10;6;29;41;100;100;100;121678;216681;5;7
"ltsr.ru";"асфальт портландцемент сухих строительных производство делают смесей";4.89;5.71;7.54;7.53;4.21;-0.82;-2.65;-2.64;0.68;178;182;60;0;0;0;55;14;32;54;96;100;100;54145;38103;15;6
"unigran.by";"гост 8267 93 щебень";0.81;0.76;0.84;0.2;0.27;0.05;-0.03;0.61;0.54;25;25;10;0;0;0;2;0;8;24;92;100;100;169518;164044;5;6
"tinert.ru";"";1.22;1.34;1.21;0.99;0.73;-0.12;0.01;0.23;0.49;33;34;15;0;0;0;9;21;38;56;91;100;100;132313;135399;6;6
"ural-grunt.ru";"купить екатеринбурге чернозем глину дресьва огорода цена";1.87;2.85;4.28;4.46;1.19;-0.98;-2.41;-2.59;0.68;79;80;23;0;0;272;32;2;15;28;88;100;100;103622;72369;9;6
"nerudnye-spb.ru";"лещадность";0.33;0.34;0.37;0.2;0.09;-0.01;-0.04;0.13;0.24;50;50;4;0;0;0;29;0;14;30;90;100;100;274612;101011;7;6
"testproekt.ru";"щебня плотность уплотнения коэффициент насыпная 20 40";1.22;1.34;1.96;1.88;0.92;-0.12;-0.74;-0.66;0.3;37;37;15;0;0;0;7;5;14;43;97;100;100;134953;126349;7;6
"xn----8sbbpbc8aoh7ay7ezb.xn--p1ai";"щебень инертные фракция песок материалы скала 120";1.22;1.17;0.37;0.4;0.18;0.05;0.85;0.82;1.04;39;39;15;0;0;5;13;3;15;28;95;100;100;132694;120892;7;6
"tsk-sistema.ru";"щебень фракции гравий песок керамзит цемент";4.89;4.62;4;2.28;0.73;0.27;0.89;2.61;4.16;141;147;60;0;0;0;18;10;26;47;95;100;100;54376;45964;12;6
"glavnerud.ru";"габбро лещадность диабаз";1.22;1.43;1.12;1.09;0.92;-0.21;0.1;0.13;0.3;55;56;15;0;0;0;39;4;21;39;95;100;100;135395;95025;7;5
