Домен;Страница;Трафик;Ключей в органике;Процент в топ 1 по странице;Процент в топ 3 по странице;Процент в топ 5 по странице;Процент в топ 10 по странице;page_organic_keywords_top20_procent;page_organic_keywords_top30_procent
"www.keramzit66.ru";"/catalog/stroitelnyy-blok/blok-fbs-24-4-6.html";0;2;0;0;50;50;100;100
"www.keramzit66.ru";"/contact/";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/zemla/zemla_s_dostavkoi-1-1.html";0;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/asfalt/srezka/";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/stroitelnyy-blok/Tvinblok/tvinblok-TB300.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/asfalt/goryachiy/asfalt-goryachiy-do-10tn.html";0;1;0;100;100;100;100;100
"www.keramzit66.ru";"/catalog/mramor/krohka-mramornaja-ekaterinburg-belaja-1-1-1.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/otsev/otsev3.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/gel-lep/opora_sv-95.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/cement/pts-500/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/keramzitoblok/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/keramzitobeton/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/cement/pts-400/";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/mramor/krohka-kvarc-ekaterinburg-belaja-50kg-1.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/asfalt/goryachiy/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/glina/";0;2;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/v-meshkah/keramzit_frakcii_5_10.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/keramzit/keramzit_mechki_cena.html?_openstat=bWFya2V0LnlhbmRleC5ydTvQmtC10YDQsNC80LfQuNGCINGE0YDQsNC60YbQuNGPIDAgNdC80Lwg0LIg0LzQtdGI0LrQsNGFINC_0L4gMCwwNNC8MztKbUtHVU1WVlNtUlNtZ1VaVnM0YVlnOw&frommarket=http%3A%2F%2Fmarket.yandex.ru%2Fpartner";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/pesok/formovochnyy/";0;1;0;0;100;100;100;100
"www.keramzit66.ru";"/catalog/kerpich/silikatnyy/kirpich-silikatnyy-odinarnyy-pustotelyy-neokrashenyy.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/torf/v-meshkah/torf-v-meshcok-1.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/mramor/belaya/";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/dresva/dresva_cena-1.html";0;1;0;0;0;100;100;100
"www.keramzit66.ru";"/catalog/pesok/pesok_ekaterinburg_stroitelniy-1-1-1.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/about/";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/pesok/pesok_kamichlov_ekaterinburg.html";0;0;0;0;0;0;0;0
"www.keramzit66.ru";"/catalog/pesok/pesok_kamichlov_ekaterinburg-1.html";0;0;0;0;0;0;0;0
