Ключ;Вес ключа;Похожесть на исходные фразы;Количество слов;Содержит вопрос;Содержит топоним;Глобальная общая частотность;Глобальная точная "[!частотность]";Региональная общая частотность;Региональная "частотность";Региональная точная "[!частотность]";Минимальная ставка в контексте;Результатов в выдаче;Главных страниц в топ 10;Главных страниц в топ 50;PPC объявления
"купить щебень";3;9;2;;;105936;2146;1937;50;32;132;829000;0;0;8
"сколько стоит щебень за тонну";2;9;5;1;;1417;55;20;6;4;12.5;802000;0;0;0
"щпс купить в екатеринбурге";4;9;4;;1;9;5;7;5;5;0.3;672000;0;0;9
"пшс щебень";4;8;2;;;30;8;4;4;2;9;2000;1;1;7
"купить камаз щебня цена";3;8;4;;;143;84;2;2;2;52.4;1000000;0;0;8
"щебень 1200 фракция 20 40";2;8;5;;;45;6;3;3;3;0.3;2000000;0;0;0
"сколько стоит щебенка";4;8;3;1;;2853;145;29;2;2;3.4;684000;0;0;0
"сколько стоит тонна щебня";2;8;4;1;;3264;478;37;11;7;35.7;790000;0;0;0
"купить керамзит для утепления пола";3;8;5;;;67;12;2;2;2;25.6;874000;0;0;0
"купить щебень в екатеринбурге 20 40";2;8;6;;1;68;3;56;10;2;40.1;2000000;0;0;6
"щебень свердловская область";2;8;3;;1;136;2;37;2;2;40.1;572000;0;0;0
"холодный асфальт в мешках купить в екатеринбурге";4;8;7;;1;26;18;23;23;16;23.6;943000;1;1;0
"купить щебень и отсев в екатеринбурге с доставкой цена";5;8;9;;1;22;22;19;19;19;48.5;1000000;0;0;9
"отсев в мешках купить";3;7;4;;;587;17;83;3;3;11.5;640000;0;0;7
"щебенка 20 40";2;7;3;;;290;17;6;2;2;0.3;3000000;0;0;9
"заказать щебень";3;7;2;;;2134;65;78;9;9;0.3;14000;1;1;0
"купить холодный асфальт в екатеринбурге в мешках";4;7;7;;1;39;3;92;92;3;33.1;703000;2;2;0
"камаз щебня цена с доставкой";2;7;5;;;500;191;16;6;4;54.2;713000;0;0;0
"купить керамзит в екатеринбурге в мешках цена";2;7;7;;1;15;4;10;10;4;6.2;1000000;0;0;0
"щебень камаз";3;7;2;;;4582;28;176;4;4;23.7;212000;0;0;7
"отсев куб доставка";3;7;3;;;505;4;60;3;3;0.3;572000;0;0;9
"щебень цена за 1 м3";3;7;5;;;2975;90;124;5;2;19.7;4000000;1;1;0
"отсев щебня цена за тонну";4;7;5;;;187;48;5;2;2;11.6;957000;0;0;7
"керамзит цена за мешок 50 кг";3;6;6;;;265;129;4;3;2;11.2;2000000;0;0;2
"щебень отсев";2;6;2;;;5928;94;269;4;4;22;177000;1;1;8
"купить холодный асфальт в екатеринбурге";3;6;5;;1;349;13;238;30;10;82.6;850000;0;0;8
"щебень с доставкой";2;6;3;;;32411;136;864;8;8;50.7;569000;0;0;9
"керамзит в мешках купить";2;6;4;;;6235;195;98;7;2;12.9;783000;0;0;8
"мокрый асфальт в мешках цена";4;6;5;;;95;66;4;2;2;0.3;982000;1;1;8
"гравий цена за тонну";2;6;4;;;156;11;3;2;2;0.3;853000;0;0;0
"купить гранитный отсев с доставкой";3;6;5;;;72;5;3;3;3;0.3;887000;0;0;0
"цена щебень 20 40 за куб";2;6;6;;;762;28;9;9;5;33.3;2000000;0;0;2
"холодный асфальт купить в екатеринбурге";3;6;5;;1;41;9;30;5;5;19.6;735000;0;0;0
"отсев стоимость за куб";3;6;4;;;40;7;6;2;2;0.3;814000;0;0;9
"скальники 34 размер купить";4;6;4;;;15;9;4;4;4;0.3;1000000;0;0;10
"отсев в мешках купить в екатеринбурге";2;5;6;;1;50;19;34;17;17;22;722000;0;0;0
"холодный асфальт перед гаражом";3;5;4;;;14;2;2;2;2;0.3;12000;1;1;8
"щебень оптом";2;5;2;;;1344;143;21;10;6;157.2;175000;2;2;4
"холодный асфальт екатеринбург купить";3;5;4;;1;362;2;247;4;2;50.4;916000;0;0;9
"щебень доставка";2;5;2;;;38136;64;1319;9;3;65.8;2000;1;1;10
"строительный щебень";2;5;2;;;5614;18;128;3;2;0.3;11000;0;0;0
"куплю щебень";2;5;2;;;117209;146;2043;125;4;87.2;23000;0;0;0
"щебень с доставкой купить";3;5;4;;;24405;51;476;3;2;28.2;757000;0;0;0
"мелкий щебень";2;5;2;;;2491;302;40;3;2;0.3;254000;0;0;0
